"Cost_of_Goods_Sold_EURO","Quantity_units","Number_of_Deliveries","N_Parts","Assembly_Labour_Minutes","Machinery_Minutes","Geographical_Area","Plant","Customer_Class","Turnover_Range_EURO","Product_Line","Product_Type","Total_Cost_of_Distribution","Total_Customer_Order_Management_Costs","Customer_related_Issues_Costs","Total_Operations_Costs"
384.24,1,4,30,39,3347,"NAM","USA","Nationals","c 100-250","Plugs and Caps","Spare Parts",96.4,97.37,11.22,61.29
384.24,1,4,30,39,3347,"NAM","USA","Nationals","c 100-250","Plugs and Caps","Spare Parts",71.81,97.37,11.22,61.29
715.32,2,1,42,0,3392,"ITA","Northern Italy","Nationals","d 250-500","Plugs and Caps","Spare Parts",44.57,53.71,1.12,102.28
2133.35,5,29,42,225,3056,"FRA","Northern Italy","Nationals","c 100-250","Plugs and Caps","Spare Parts",125.61,297.27,3.37,598.9
4266.71,10,29,42,450,4375,"FRA","Northern Italy","Nationals","c 100-250","Plugs and Caps","Spare Parts",187.93,594.53,6.73,1200.59
765.32,2,18,36,78,975,"NAM","USA","Nationals","c 100-250","Plugs and Caps","Spare Parts",196.53,194.73,22.43,127.18
442.81,1,4,42,90,4365,"FRA","Northern Italy","Nationals","c 100-250","Plugs and Caps","Spare Parts",36.75,61.45,0.7,119.62
442.81,1,4,42,90,4365,"ITA","Northern Italy","Others","b 20-100","Plugs and Caps","Spare Parts",29.5,31.3,0.46,119.62
4370.94,11,4,51,682,269,"ITA","Northern Italy","Nationals","e >500","Plugs and Caps","Spare Parts",112.53,492.37,24.28,1267.14
3180.58,8,4,51,496,4389,"ITA","Northern Italy","Nationals","e >500","Plugs and Caps","Spare Parts",90.01,357.79,17.58,921.56
63.9,5,4,7,13,3298,"CEU","Northern Italy","Others","a 0-20","Plugs and Caps","Spare Parts",65.57,35.96,0.11,16.12
131.06,1,4,8,7,3908,"IAM","Northern Italy","Nationals","d 250-500","Plugs and Caps","Spare Parts",24.15,70.49,0.28,11.27
135.44,1,4,8,7,966,"IAM","Northern Italy","Others","e >500","Plugs and Caps","Spare Parts",22.1,18.19,0.29,17.38
129.95,1,4,10,8.1,1081,"CEU","Northern Italy","Strategic","Strategic","Plugs and Caps","Spare Parts",24.01,57.94,0.27,16.82
110.19,1,4,17,30,2037,"IAM","Northern Italy","Others","e >500","Plugs and Caps","Spare Parts",17.29,13.81,0.15,40.42
110.19,1,4,17,30,2037,"ITA","Northern Italy","Nationals","c 100-250","Plugs and Caps","Spare Parts",17.67,12.58,0.16,40.42
